id,date,platform,seed_SeedName,seed_MainType,text,h_elimination_language,h_dehumanization,h_harm_celebration,h_benevolent_justification,h_threat_construction,h_identity_erasure,h_atrocity_denial,h_economic_coercion,h_collective_attribution,h_hierarchical_positioning,h_vilification,h_conspiratorial_attribution,h_humiliation,h_other_hostility
did:plc:atnhbdgtbhmog4xfo3cvolez__bafyreicgiwlv4re4fba365qm63g33b7qkove4m5cowgjxqnztqsjaeck4u,2026-02-01T02:00:38Z,bluesky,windward antifascist,influencer,"From the same people who say that simply teaching kids that queer & trans people exist is gr--ming comes this: a very young child who was coached by a parent to yell ""Mark Carney needs to go,"" particularly when far-right influencers were filming (you can hear her in this video).",0,0,0,0,2,0,0,0,0,0,1,0,0,0
did:plc:ckhgxna3isqjqtvegqu3wkoi__bafyreiabwyh5c7uthaiabf4p4zmvsfzwjtpy53gansdzvpgtkrel7t4vie,2026-02-01T15:34:04Z,bluesky,Celeste Trianon,influencer,"Perhaps they were never for free speech in the first place!

— every trans woman, three years ago (probably).",0,0,0,0,0,0,0,0,1,0,0,0,1,0
did:plc:haz6djeevzufb4fhgeyesn4i__bafyreigu34xu56ls2nmpf37sudeqfr6na3wlrbx67drtpvgf7bedorkh2e,2026-02-05T08:38:26Z,bluesky,Decolonize Myself,influencer,"Her hideous trans ""look over there"" worked on so many. Throw her in the pitt with the rest of em.",2,1,0,0,0,0,0,0,0,0,2,0,0,0
did:plc:fv2nxxac24oxk5fqztfazyuc__bafyreiewmledw4tneobohoxhcifm7eqdzpo5mebacefuuvllf2qky2kffa,2026-02-06T05:15:58Z,bluesky,The Serfs,influencer,"Trump: ""Invaders poison the blood of the nation. We will purge the unclean hoards of immigrants and trans people destroying the country. Venezuela's oil mine. Epstein was not my friend.""

Meanwhile Zohran is a press conference away from singing alongside enchanted forest creatures",2,2,0,0,2,0,0,0,2,0,2,0,0,0
did:plc:ckhgxna3isqjqtvegqu3wkoi__bafyreigp3xc6uhn75ntvmmpzwcm5lqgw2lq22rrdsnvnnaxbjy2bseen5e,2026-02-08T01:55:52Z,bluesky,Celeste Trianon,influencer,"Meghan Murphy est connue surtout pour sa transphobie. Elle est également ex-candidate du PPC. 

Je ne suis pas pantoute surprise.",0,0,0,0,0,0,0,0,0,0,1,0,0,0
did:plc:qd7ojddcp4segnxrqnwmqsee__bafyreih72mycd4jsegd7vrfitz5rjorzhsoiyxqulfqu2uhv7a2vnualbu,2026-02-09T04:40:53Z,bluesky,Wilbur Turner,influencer,"Like children, if the game is not going the way they want it have a tantrum - take the toys and go home. 
queergranddad.substack.com/p/the-bc-pro...",0,0,0,0,0,0,0,0,0,1,0,0,1,0
did:plc:v3djzxt7v7licp4qfbrsaptm__bafyreiei6f7imvfhwah5ujzbcy32duuorjhf3jv5udtraq4hku3aefdhki,2026-02-09T16:00:08Z,bluesky,Waterloo Region Record,news_outlet,"Kitchener and Waterloo residents are organizing to keep Ben Bankas from performing at the Conrad Centre, a city-owned theatre. The controversial comedian makes fun of Renee Good, survivors of residential schools, gays, lesbians and trans people. www.therecord.com/news/waterlo...",0,0,0,0,0,0,0,0,0,0,0,0,1,0
did:plc:tm7uvmb263f5xymsvximzn4g__bafyreidnc5aikqqb6h6rcke2kowznfwl3iykjxl65d5p55frdxeoyyerca,2026-02-11T05:57:54Z,bluesky,Jen St. Denis,influencer,Guy who likes to hang out with white nationalists blames the Tumbler Ridge shooting on trans people :( #bcpoli,0,0,0,0,0,0,0,0,2,0,0,0,0,0
did:plc:4yb2pjejfziah3eork7stm6j__bafyreig6y4t5qfbwjp3jhvffj6pxeqwa3nqq7gtgsrnkxqvrsn2byajz5q,2026-02-11T15:00:23Z,bluesky,Rachel Gilmore,influencer,"These fucking ghouls out here layering hate onto tragedy for their own disgusting political purposes.

The shooter's gender identity doesn't fucking matter. It only matters to sick fucks trying to exploit a mass tragedy to drive an agenda of hate that will kill more kids.

Monsters, all of them.",0,2,0,0,2,0,0,0,3,0,3,0,0,0
did:plc:rvmgl3w26vymioigti6vc5te__bafyreifz3crhhku7a3vutu7jqv5dw5xngapfq45r6xbdvea3brrwpgldoy,2026-02-11T19:58:03Z,bluesky,Journal de Quebec,news_outlet,"TUMBLER RIDGE
L’auteur de la tuerie qui a fait 10 morts est une transgenre connue des services policiers",0,0,0,0,0,0,0,0,1,0,0,0,0,0
did:plc:atnhbdgtbhmog4xfo3cvolez__bafyreiczr4kimtxbjbqwekexny2mui3ddok4gc4rz5fha6raweedunvhly,2026-02-11T22:09:44Z,bluesky,windward antifascist,influencer,"Billboard Chris & other anti-2SLGBT+ & anti-SOGI influencers will rally in Abbotsford later today in response to the tragedy in Tumbler Ridge. They claim all trans people are future terr*rists & want gender diversity removed from BC schools.

This is sickening. 
 
cc @abbyschools.bsky.social",2,0,0,0,2,0,0,0,3,0,0,0,0,0
did:plc:fv2nxxac24oxk5fqztfazyuc__bafyreidrvucnnitgzrklis7enry25sc64liihgr4kv3pnoqwmcclw5huay,2026-02-12T17:04:38Z,bluesky,The Serfs,influencer,Russian state media is now playing old LGBTQ+ acceptance PSA's from Canada trying to imply that they somehow are associated with a mass shooting that took place,0,0,0,0,0,0,0,0,2,0,0,1,0,0
did:plc:p4p76uhvfxjto3pi7kjbhp5r__bafyreig37yjr4lceaz3y5w55xevrgzqarjj4eqvnmrv4lcakls55j7uwvm,2026-02-13T00:40:15Z,bluesky,Jeff's Fact Checker,influencer,"Just like Trump, PP against transgender women in female spaces, sports

vt.tiktok.com/ZSm21Vp1q/",1,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:tm7uvmb263f5xymsvximzn4g__bafyreia6dz4ovyeh7hiy64e7vexemrihiho6t4sekncldocbvnxwo5u6g4,2026-02-18T15:46:50Z,bluesky,Jen St. Denis,influencer,"Juno News really has been outdoing itself these past couple weeks. 

From the same “news” outlet that’s been relentlessly pushing the idea that trans people are violent.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:4llrhdclvdlmmynkwsmg5tdc__bafyreicjhoetenz6tv6gzry2zjurfgrkyson37u4hsre5sw5ztd6sa2r2e,2026-02-18T16:18:57Z,bluesky,Aaron Rupar,influencer,"Kash Patel: ""We looked at the facts and the evidence. We saw a stream of violence related to transgender ideology that led to unfortunate deaths and assassinations, and we took action.""",0,0,0,0,2,0,0,0,1,0,0,0,0,0
did:plc:atnhbdgtbhmog4xfo3cvolez__bafyreidhyo7zhoo3n5cddgteqkbghp3jlh2qph2rkwiptmgsltu7ti5qva,2026-02-19T21:27:07Z,bluesky,windward antifascist,influencer,"So disgusting. OneBC candidate & Freedom Convoy organizer James Davison is planning a vigil at Abbotsford City Hall on Saturday, Feb 21, ostensibly for lives lost in Tumbler Ridge.

This is an anti-trans gathering. They're pretty stoked kids died & they can blame a trans woman.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:4llrhdclvdlmmynkwsmg5tdc__bafyreigsfizcis63zsro362uimjjejtwm3cb5btqrptqpkudm2rl7ibam4,2026-02-19T21:42:14Z,bluesky,Aaron Rupar,influencer,"Trump: ""TARIFFS! Can you believe it? And I gotta be before a court. This is like men playing in women's sports. Transgender for everybody. I have a new one to add -- voter ID.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:ckhgxna3isqjqtvegqu3wkoi__bafyreiaaqtshqkenqpsq2xvtnrlkapmqwfpfl34do2734vsepswa6nwmsm,2026-02-23T01:02:10Z,bluesky,Celeste Trianon,influencer,"You know who else revoked identification documents, and towards who?

The Nazis.

Trans people in the USA are right in 1938 Nazi Germany.

encyclopedia.ushmm.org/content/en/t...",0,0,0,0,2,0,0,0,0,0,1,0,0,0
did:plc:fv2nxxac24oxk5fqztfazyuc__bafyreidle2wfnrujfhenwa7e46impafab64amuskuby76fp5qrgdmnt7v4,2026-02-23T03:56:35Z,bluesky,The Serfs,influencer,"Counter offer: we abolish the divine right of nonces and give all their wealth and property to the Indigenous people they colonized and house all the poor in Britain in their castles and resorts.

Unrelated but JK Rowling must also give her wealth to trans kids for good measure",0,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:atnhbdgtbhmog4xfo3cvolez__bafyreibbhp5if577v7xp7q53mczl6dl6tj7fyvv5a4u3figldyllpvzll4,2026-02-23T23:11:05Z,bluesky,windward antifascist,influencer,"Barry Neufeld was & still is part of this movement. Despite serving multiple terms as trustee on the Abbotsford Board of Education, he rallied with the BC far-right. He accused 2SLGBTQIA+ teachers in the school district he served in of crimes that harm children.

(📸 Facebook)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
did:plc:ckhgxna3isqjqtvegqu3wkoi__bafyreie4uboql45nvzzdzic37vbw3qmbly3mr257djtc4xggulpltjrvsa,2026-02-26T17:34:33Z,bluesky,Celeste Trianon,influencer,"In B.C., a bill is on the order table today to outright *abolish* the B.C. Human Rights Tribunal.

The alleged crime? Daring to uphold that trans people have rights.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
