"ymin","ymax","x","y","fill","PANEL","group","flipped_aes","colour","linewidth","linetype","alpha"
1.49882690807165,1.68051420205635,19905,1.49882690807165,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.394913612773,1.59426780942468,19936,1.394913612773,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.4330680545173,1.63059189935237,19967,1.4330680545173,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.43244693334152,1.62126541546433,19997,1.43244693334152,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.39763289546571,1.56325294999007,20028,1.39763289546571,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.41032537541589,1.59405413635162,20058,1.41032537541589,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.44242163187738,1.60690211746588,20089,1.44242163187738,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.4579938633204,1.6458548712074,20120,1.4579938633204,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.37599195694391,1.54702589255456,20240,1.37599195694391,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.47884734542285,1.65361742435577,20270,1.47884734542285,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.47275159264129,1.65034806224119,20301,1.47275159264129,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.40703911066411,1.59143320446619,20332,1.40703911066411,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.41117639248987,1.58171935048495,20362,1.41117639248987,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.43822529324609,1.63081120645879,20393,1.43822529324609,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.48695147395303,1.68219297046985,20454,1.48695147395303,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.32456443326139,1.72021320009603,20485,1.32456443326139,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.5715430842553,1.6449875655464,NA,1.5715430842553,"#434E7C","1",1,FALSE,NA,0.454545454545455,1,0.15
1.01705775016973,2.03557401297529,19905,1.01705775016973,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.30037932116234,2.71789144634432,19936,1.30037932116234,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.00019523721577,2.3200181824282,19967,1.00019523721577,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.45267197964711,2.00985654443719,19997,1.45267197964711,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.29764847314258,2.01057166242632,20028,1.29764847314258,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.38726326388504,2.39000832800936,20058,1.38726326388504,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.33502476974165,2.44882507996891,20089,1.33502476974165,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
NA,1.99353805292937,20120,NA,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.06680491205772,2.55467953707809,20240,1.06680491205772,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.38024566609243,2.54620443024188,20270,1.38024566609243,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
NA,2.52871378892228,20301,NA,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.16407018808424,2.59402780359519,20332,1.16407018808424,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.83067411692815,2.96985793702454,20362,1.83067411692815,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.60055249757789,2.48890261371945,20393,1.60055249757789,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.4553063597787,2.27590950882457,20454,1.4553063597787,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.76986186910422,2.86634680904286,20485,1.76986186910422,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.61301574407936,2.14825411486073,NA,1.61301574407936,"#FF8200","1",2,FALSE,NA,0.454545454545455,1,0.15
1.39203654924728,1.57767694635563,19905,1.39203654924728,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.30651884748502,1.50706465718312,19936,1.30651884748502,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.32857870922202,1.5337170262807,19967,1.32857870922202,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.33534537219709,1.55056303186747,19997,1.33534537219709,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.33657866458756,1.52557581988888,20028,1.33657866458756,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.305573873142,1.49614836113277,20058,1.305573873142,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.3103457437124,1.48561391622386,20089,1.3103457437124,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.36665745129127,1.57538922901493,20120,1.36665745129127,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.34160847023318,1.53534479753254,20240,1.34160847023318,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.34613695038035,1.54120832751393,20270,1.34613695038035,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.37268377477591,1.5767539234949,20301,1.37268377477591,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.36068296293356,1.56902470035929,20332,1.36068296293356,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.25518631824553,1.42396805784146,20362,1.25518631824553,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.37608464477844,1.58561382882424,20393,1.37608464477844,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.31670784678429,1.51027391617601,20454,1.31670784678429,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.13533999940712,1.50135464516618,20485,1.13533999940712,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
1.43128636776096,1.50887350425148,NA,1.43128636776096,"#434E7C","2",1,FALSE,NA,0.454545454545455,1,0.15
NA,2.0945641933755,19905,NA,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.64182772032407,2.91483578386329,19936,1.64182772032407,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
NA,2.35442651024804,19967,NA,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.26801469228463,2.11270388520872,19997,1.26801469228463,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.06148363952666,2.24499892529624,20028,1.06148363952666,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.35514609707464,2.17403384652128,20058,1.35514609707464,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.27489953479078,2.67419437512534,20089,1.27489953479078,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.23616126616859,2.31577728328713,20120,1.23616126616859,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.16148628417033,2.14008912965686,20240,1.16148628417033,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.91433256114362,2.92651981808152,20270,1.91433256114362,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1,1,20301,1,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.10455763967764,2.46389454770397,20332,1.10455763967764,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.62513651444876,2.92817539264594,20362,1.62513651444876,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.97523757070806,2.64745065177283,20393,1.97523757070806,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.29231665954573,2.14050605963764,20454,1.29231665954573,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.68703077631778,3.05150742147704,20485,1.68703077631778,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.67342722718183,2.14122850341046,NA,1.67342722718183,"#FF8200","2",2,FALSE,NA,0.454545454545455,1,0.15
1.23607509545845,1.38458923924017,19905,1.23607509545845,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.22316738748744,1.38948362493601,19936,1.22316738748744,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.20572288191195,1.39769766471886,19967,1.20572288191195,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.25905938175168,1.43735379962013,19997,1.25905938175168,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.2427938292678,1.42100850568203,20028,1.2427938292678,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.22089284211888,1.39384317354276,20058,1.22089284211888,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.25344162420262,1.41090541836554,20089,1.25344162420262,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.25060388376506,1.43319829158264,20120,1.25060388376506,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.30805369091296,1.4954341325879,20240,1.30805369091296,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.23655159186637,1.42032155891901,20270,1.23655159186637,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.30632987071961,1.50552765907378,20301,1.30632987071961,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.27534454732612,1.47814693032809,20332,1.27534454732612,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.24450037380526,1.41825982312334,20362,1.24450037380526,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.3461807760312,1.55125524022861,20393,1.3461807760312,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.21329185821205,1.38319295026716,20454,1.21329185821205,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.02373350960739,1.38120684506179,20485,1.02373350960739,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
1.37682244993485,1.4546503677969,NA,1.37682244993485,"#434E7C","3",1,FALSE,NA,0.454545454545455,1,0.15
NA,1.95848651489056,19905,NA,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.3997241703367,2.63326554099372,19936,1.3997241703367,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.71180159874399,2.29095482949625,19967,1.71180159874399,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.3065177132484,1.87433483014957,19997,1.3065177132484,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
NA,1.535528013347,20028,NA,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.01900071519621,2.03221023827061,20058,1.01900071519621,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.22586991776793,2.74856226268034,20089,1.22586991776793,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
NA,1.97279072560916,20120,NA,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
NA,1.56507363783675,20240,NA,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.38678137697457,2.75525845125311,20270,1.38678137697457,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
NA,2.66538836058931,20301,NA,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.69469766412004,2.83243580386742,20332,1.69469766412004,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.61118199864715,2.9355955547843,20362,1.61118199864715,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.37369409457653,2.5524365961303,20393,1.37369409457653,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.20888920941576,1.99821834763951,20454,1.20888920941576,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.5682550625572,3.11494265472616,20485,1.5682550625572,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
1.53425305422702,2.09207848865933,NA,1.53425305422702,"#FF8200","3",2,FALSE,NA,0.454545454545455,1,0.15
